Text: адекватным, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: Такой, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: контроль, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: не, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: является, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: маловерным, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: т, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: к, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: препарат, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: купленный, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: в, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: в, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: аптеке, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: может, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: отличаться, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: по, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: составу, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: и, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: свойствам, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: Результаты, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: контроля, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: в, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: таком, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: случае, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: недостоверными, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: так, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: препарат, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: купленный, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: в, Number: 22, Confidence: 0.48, Bbox: [9.7538480758667, 21.683286666870117, 2272.03125, 2070.020751953125]
Text: аптеке, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: будет, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: действовать, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: иначе, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: эффект, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: будет, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: выше, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: или, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: ниже, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: В, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: таком, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: случае, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: условия, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: постановки, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: отрицательного, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: контроля, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: не, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: выполненыусловия, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: различаться, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: результат, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: будет, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: разным, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: контроль, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: можно, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: поставить, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: поставить, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
Text: добавят, Number: 22, Confidence: 0.73, Bbox: [4.345005989074707, 638.9192504882812, 2245.000732421875, 2101.1689453125]
