Text: внимание, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: Данный, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: бланк, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: использовать, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: только, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: после, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: заполнения, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: обоих, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: листов, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: основного, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: бланка, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: ответов, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: а, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: Никто, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: попиравшая, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: дозволяет, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: установить, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: влияет, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: ли, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: препарат, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: на, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: целостность, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: вирусных, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: частиц, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
Text: Вирусы, Number: 22, Confidence: 0.46, Bbox: [10.172762870788574, 37.14997482299805, 2243.404052734375, 806.2825317382812]
