Text: контакта, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: с, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: лекарственным, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: препаратом, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: и, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: установить, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: влияет, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: ли, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: препарат, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: на, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: целостность, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: вирусных, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: частиц, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: У, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: вирусов, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: отсутствует, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: собственный, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: обмен, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: веществ, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: Следовательно, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: нельзя, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: повить, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: на, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: то, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: чего, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: нет, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: Так, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: же, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
Text: вирусы, Number: 22, Confidence: 0.58, Bbox: [22.079971313476562, 5.598292350769043, 2310.0, 845.0662841796875]
