Text: плацента, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: иные, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: животные, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: из-за, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: которые, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: появились, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: позже, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: -с, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: Из-за, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: разнообразия, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: экологических, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: пиш, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: Геологическая, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: теория, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: адаптер, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: явная, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: радиация, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: Вследствие, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: разных, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: экологических, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: или, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: общий, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: предок, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: наган, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: заселять, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: приспосабливаться, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: к, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
Text: разным, Number: 24, Confidence: 0.37, Bbox: [0.0, 27.129056930541992, 2231.12451171875, 1105.803466796875]
