Text: Дес, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: бланки, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: и, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: контрольные, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: измерительные, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: материалы, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: рассматриваются, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: в, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: комплекте, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: -де, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: Такой, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: отрицательный, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: контроль, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: не, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: является, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: адекватным, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: потому, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: как, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: зубастый, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: подвергался, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: воздействию, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: противовирусного, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: препарата, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: каждые, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: алча, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: Свой, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: вариантзародить, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: клетки, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: сразу, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: лекарственный, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: препарат, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: измерять, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: вирусную, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: нагрузку, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: не, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: родановую, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: дозу, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: препарата, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: -де, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: тестируемый, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: не, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: разрушил, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: вирусные, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
Text: частицы, Number: 22, Confidence: 0.40, Bbox: [6.375853538513184, 1.7795233726501465, 2310.0, 794.4888916015625]
