Text: А, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: no28, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: англия, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: кислот, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: в, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: гипутрикоз., Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: х, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: англия, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: Алл, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: (gax), Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -де, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: aaxy, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: девочка, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: крема, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: без, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: гипертующе-, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: aaxy, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: мальчик, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: мокрых, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: гипертрихоз, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: Л, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: девочка, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: закончи, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: генеральное, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: А, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: х, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: ерь, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: -с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: мальчик, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: начался, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: кисти, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: гипертонику, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: возможно, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: рождение, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: ребенка, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: в, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: а, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: браке, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: нормой, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: киски, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: и, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: гиперизм, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: в, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: 1, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: браке, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: с, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: нормой, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: киски, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: и, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
Text: гиперармизм, Number: 28, Confidence: 0.73, Bbox: [40.384769439697266, 108.42779541015625, 2295.37255859375, 2568.301513671875]
