Text: когда, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: материки, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: начали, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: разделить, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: А, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: в, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: будущая, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: Австралия, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: отделилась, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: первая, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: потому, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: сумчатых, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: там, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: сохранилось, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: боль, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: ше, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
Text: Затем, Number: 24, Confidence: 0.36, Bbox: [11.57449722290039, 1574.7122802734375, 2284.2119140625, 2590.0]
