Text: долгов, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: -де, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: норм, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: листья, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: аномии, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: кисти, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: норм, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: хо, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: гипюр, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: заявка, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: норм, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: кисть, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: паперти, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: капом, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: пистик, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: норм, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: вуко, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: ра, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: доверяю, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: аномален, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: киске, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: норм, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: что, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: х, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: о, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: норм, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: клеть, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: норм, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: Ую, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: сп, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: опросов, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: «fab, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: -де, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: красив, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: -де, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: в, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: норм, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
Text: кисть, Number: 28, Confidence: 0.78, Bbox: [30.95153045654297, 29.198806762695312, 2309.73876953125, 1928.160888671875]
